"('[DX320000] 포괄손익계산서, 기타 - 연결 | Statement of Comprehensive Income, Others - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[DX320000] 포괄손익계산서, 기타 - 연결 | Statement of Comprehensive Income, Others - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[DX320000] 포괄손익계산서, 기타 - 연결 | Statement of Comprehensive Income, Others - Consolidated financial statements (Unit: KRW)', 'label_en')","('[DX320000] 포괄손익계산서, 기타 - 연결 | Statement of Comprehensive Income, Others - Consolidated financial statements (Unit: KRW)', 'class0')","('[DX320000] 포괄손익계산서, 기타 - 연결 | Statement of Comprehensive Income, Others - Consolidated financial statements (Unit: KRW)', 'class1')","('[DX320000] 포괄손익계산서, 기타 - 연결 | Statement of Comprehensive Income, Others - Consolidated financial statements (Unit: KRW)', 'class2')","('[DX320000] 포괄손익계산서, 기타 - 연결 | Statement of Comprehensive Income, Others - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('연결재무제표',))","('20240101-20241231', ('별도재무제표',))","('20230101-20231231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20220101-20221231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_InsuranceServiceExpensesFromInsuranceContractsIssued,보험서비스비용,Insurance service expenses from insurance contracts issued,ifrs-full:StatementOfComprehensiveIncomeAbstract,순보험손익,보험서비스비용,,-2131560000000.0,,,-1748779000000.0,-1667870000000.0,
ifrs-full_ExpensesFromAllocationOfPremiumsPaidToReinsurer,재보험서비스비용,Reinsurance service expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,순보험손익,재보험서비스비용,,-75405000000.0,,,-82190000000.0,-63910000000.0,
ifrs-full_InsuranceFinanceIncomeExpenses,보험금융손익,Net insurance finance expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,보험금융손익,,,-99439000000.0,,,-516097000000.0,807964000000.0,
dart_InsuranceFinanceIncomeFromInsuranceContractsIssuedRecognisedInProfitOrLoss,보험금융수익,Insurance finance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,보험금융손익,보험금융수익,,202363000000.0,,,143064000000.0,850940000000.0,
dart_InsuranceFinanceExpensesFromInsuranceContractsIssuedRecognisedInProfitOrLoss,보험금융비용,Insurance finance expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,보험금융손익,보험금융비용,,-301802000000.0,,,-659161000000.0,-42976000000.0,
ifrs-full_RevenueFromDividends,배당수익,Dividend income,ifrs-full:StatementOfComprehensiveIncomeAbstract,배당수익,,,239097000000.0,2025956000000.0,1785967000000.0,181486000000.0,177569000000.0,1470893000000.0
dart_GainLossFromFinancialInstrumentsAtFairValueThroughProfitOrLoss,당기손익-공정가치측정금융상품관련손익,Net gain (loss) on financial instruments at fair value through profit or loss,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기손익-공정가치측정금융상품관련손익,,,1210771000000.0,89244000000.0,151698000000.0,2493626000000.0,-1160833000000.0,-102228000000.0
entity00382199_NetGainLossOnFinancialInstrumentsDesignatedAtFairValueThroughProfitOrLossOfStatementOfComprehensiveIncomeAbstract,당기손익-공정가치측정지정금융상품관련손익,Net gain (loss) on financial instruments designated at fair value through profit or loss,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기손익-공정가치측정지정금융상품관련손익,,,-344453000000.0,,,-437780000000.0,576942000000.0,
ifrs-full_NetForeignExchangeGain,외환거래손익,Net gain (loss) on foreign currency transaction,ifrs-full:StatementOfComprehensiveIncomeAbstract,외환거래손익,,,510985000000.0,-2128000000.0,27525000000.0,256766000000.0,245079000000.0,46983000000.0
dart_GainLossFromFinancialInstrumentsAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치측정유가증권 처분손익,Net gain (loss) on disposal of financial securities at fair value through other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익-공정가치측정유가증권 처분손익,,,60260000000.0,,,-129575000000.0,-161423000000.0,
ifrs-full_GainLossArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,상각후원가측정유가증권 처분손익,Gain (loss) arising from derecognition of financial assets measured at amortised cost,ifrs-full:StatementOfComprehensiveIncomeAbstract,상각후원가측정유가증권 처분손익,,,-23155000000.0,,,251000000.0,-60000000.0,
dart_AdditionReversalOfCreditLossFinancialAssets,신용손실충당금 전입액,"Addition of credit loss, financial assets",ifrs-full:StatementOfComprehensiveIncomeAbstract,신용손실충당금 전입액,,,-2013274000000.0,215000000.0,1363000000.0,-2244503000000.0,-1291813000000.0,2082000000.0
ifrs-full_GeneralAndAdministrativeExpense,일반관리비,General and administrative expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,일반관리비,,,-6116240000000.0,-146832000000.0,-135853000000.0,-5895337000000.0,-5644160000000.0,-134923000000.0
ifrs-full_OtherOperatingIncomeExpense,기타영업손익,"Other operating expenses, net",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타영업손익,,,-2066224000000.0,,,-2186730000000.0,-1700320000000.0,
ifrs-full_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,관계기업 이익에 대한 지분,Equity method income (expense),ifrs-full:StatementOfComprehensiveIncomeAbstract,관계기업 이익에 대한 지분,,,-23822000000.0,,,125088000000.0,121697000000.0,
dart_NonOperatingProfitLoss,기타영업외손익,"Other non-operating income (expense), net",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타영업외손익,,,-405756000000.0,-169111000000.0,-7223000000.0,-260978000000.0,339365000000.0,3478000000.0
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익,Profit before income taxes,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용차감전순이익,,,6029092000000.0,1631752000000.0,1699417000000.0,5964960000000.0,6366626000000.0,1220916000000.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,Tax expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용,,,1470922000000.0,11885000000.0,28406000000.0,1486960000000.0,1611112000000.0,-28335000000.0
ifrs-full_ProfitLoss,당기순이익,Profit (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익,,,4558170000000.0,1619867000000.0,1671011000000.0,4478000000000.0,4755514000000.0,1249251000000.0
ifrs-full_OtherComprehensiveIncome,기타포괄손익,Other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,,,-745665000000.0,-2665000000.0,-1432000000.0,844389000000.0,-1005775000000.0,2043000000.0
ifrs-full_ComprehensiveIncome,총포괄이익,Comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,총포괄이익,,,3812505000000.0,1617202000000.0,1669579000000.0,5322389000000.0,3749739000000.0,1251294000000.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업 소유주지분,"Equity holders of Shinhan Financial Group Co., Ltd.",ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익의 귀속,지배기업 소유주지분,,4450177000000.0,,,4368035000000.0,4665643000000.0,
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분,Non-controlling interests,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익의 귀속,비지배지분,,107993000000.0,,,109965000000.0,89871000000.0,
ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,지배기업 소유주지분,"Equity holders of Shinhan Financial Group Co., Ltd.",ifrs-full:StatementOfComprehensiveIncomeAbstract,총포괄이익의 귀속,지배기업 소유주지분,,3702863000000.0,,,5208629000000.0,3660798000000.0,
ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,비지배지분,Non-controlling interests,ifrs-full:StatementOfComprehensiveIncomeAbstract,총포괄이익의 귀속,비지배지분,,109642000000.0,,,113760000000.0,88941000000.0,
ifrs-full_BasicEarningsLossPerShare,기본주당이익,Basic earnings (loss) per share,ifrs-full:StatementOfComprehensiveIncomeAbstract,주당이익,기본주당이익,,8441.0,2850.0,2853.0,8048.0,8498.0,2060.0
ifrs-full_DilutedEarningsLossPerShare,희석주당이익,Diluted earnings (loss) per share,ifrs-full:StatementOfComprehensiveIncomeAbstract,주당이익,희석주당이익,,8441.0,2850.0,2853.0,8048.0,8498.0,2060.0
