"('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('별도재무제표',))","('20240101-20241231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))"
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익,Profit (loss) before tax,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용차감전순이익,,,204820392000.0,226679288000.0,173833857000.0,181736807000.0,138563322000.0,154786545000.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,Tax expense (income),ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용,,,42124898000.0,51496788000.0,38876456000.0,41424180000.0,31934690000.0,38616532000.0
ifrs-full_ProfitLoss,당기순이익,Profit (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익,,,162695494000.0,175182500000.0,134957401000.0,140312627000.0,106628632000.0,116170013000.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업소유주지분,"Profit (loss), attributable to owners of parent",ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익,지배기업소유주지분,,,170788484000.0,,137764302000.0,,113918532000.0
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분,"Profit (loss), attributable to non-controlling interests",ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익,비지배지분,,,4394016000.0,,2548325000.0,,2251481000.0
ifrs-full_OtherComprehensiveIncome,기타포괄손익,Other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,,,-19973415000.0,-2811107000.0,-9689651000.0,-5093403000.0,15465521000.0,17585639000.0
ifrs-full_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되는 항목,Other comprehensive income that will be reclassifie,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류되는 항목,,,,,,,
ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되지 않는 항목,Other comprehensive income that will not be reclas,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 항목,,,,,,,
ifrs-full_ComprehensiveIncome,총포괄손익,Total comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,총포괄손익,,,142722079000.0,172371393000.0,125267750000.0,135219224000.0,122094153000.0,133755652000.0
ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,지배기업소유주지분,"Comprehensive income, attributable to owners of parent",ifrs-full:StatementOfComprehensiveIncomeAbstract,포괄손익의 귀속 [개요],지배기업소유주지분,,,164990845000.0,,132421088000.0,,130259934000.0
ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,비지배지분,"Comprehensive income, attributable to non-controlling interests",ifrs-full:StatementOfComprehensiveIncomeAbstract,포괄손익의 귀속 [개요],비지배지분,,,7380548000.0,,2798136000.0,,3495718000.0
ifrs-full_BasicEarningsLossPerShare,기본주당순이익,Basic earnings (loss) per share,ifrs-full:StatementOfComprehensiveIncomeAbstract,지배기업지분에 대한 기본주당손익,기본주당순이익,,5933.0,6228.0,4921.0,5024.0,3888.0,4154.0
